id,title,description,journey_id,position,content_type,is_journey_module,image_url,chapter_id,status,era,level,xp_reward,duration,image_urls,story_content,transition_question,prompt,character,year
387,Malachi and the Last Prophecy,Malachi and the Last Prophecy — Final prophet warns and encourages.,3,91,Story,TRUE,,,published,jewish,91,50,2,,"Malachi, the final prophet, rebuked Israel for spiritual apathy and foretold a coming messenger. His words closed the Old Testament, leaving a promise that God was not finished.",,,,c. 430 BCE
388,The Second Temple Dedicated,The Second Temple Dedicated — Rebuilding of the sacred Temple.,3,92,Story,TRUE,,,published,jewish,92,50,2,,"After years of delay, the rebuilt Temple was completed. Though less grand than Solomon’s, it was a symbol of restoration. Worship resumed, and hope flickered anew among the returned exiles.",,,,516 BCE
389,The Rise of the Pharisees,The Rise of the Pharisees — Spiritual leaders rise in new roles.,3,93,Story,TRUE,,,published,jewish,93,50,2,,"In the Second Temple period, a group called the Pharisees emphasized strict law observance and oral tradition. They influenced religious life deeply—seeking holiness, yet often missing the heart of the law.",,,,c. 200–100 BCE
390,Hellenistic Influence,Hellenistic Influence — Greek influence spreads in Judea.,3,94,Story,TRUE,,,published,jewish,94,50,2,,"After Alexander the Great, Greek culture swept through the Jewish world. Language, philosophy, and customs clashed with traditional beliefs, sparking identity struggles and setting the stage for future conflict.",,,,c. 330–150 BCE
391,The Maccabean Revolt,The Maccabean Revolt — Jews rebel against foreign oppression.,3,95,Story,TRUE,,,published,jewish,95,50,2,,"When a Greek ruler desecrated the Temple and banned Jewish practices, a priestly family called the Maccabees rose up. Against all odds, they reclaimed Jerusalem and rededicated the Temple to God.",,,,167–160 BCE
392,Hanukkah: Rededication of the Temple,Hanukkah: Rededication of the Temple — Miracle of the oil and rededication.,3,96,Story,TRUE,,,published,jewish,96,50,2,,"After cleansing the Temple, the Maccabees sought to relight the menorah. Though oil was scarce, it miraculously lasted eight days. This became the festival of Hanukkah, celebrating faith and deliverance.",,,,164 BCE
393,Rome Enters the Scene,Rome Enters the Scene — Rome begins ruling Judea.,3,97,Story,TRUE,,,published,jewish,97,50,2,,"Internal strife and external pressures led to Roman intervention. Eventually, Judea became a Roman province. Though the Temple still stood, the people longed for freedom and awaited a messiah.",,,,63 BCE
394,Herod and the Temple Expansion,Herod and the Temple Expansion — Massive renovation of the Temple.,3,98,Story,TRUE,,,published,jewish,98,50,2,,"Herod the Great, Rome’s appointed king, renovated the Second Temple into a magnificent structure. Though politically motivated, it became a center of worship and pride for the Jewish people.",,,,c. 20 BCE
395,"Jewish Sects: Pharisees, Sadducees, Essenes","Jewish Sects: Pharisees, Sadducees, Essenes — Jewish groups and ideologies emerge.",3,99,Story,TRUE,,,published,jewish,99,50,2,,"Diverse Jewish groups emerged. The Pharisees upheld tradition, the Sadducees aligned with power, and the Essenes withdrew into isolation. Each responded differently to foreign rule and spiritual decay.",,,,c. 100 BCE
396,The Stage Is Set for the Next Chapter,The Stage Is Set for the Next Chapter — The final setup before a new era.,3,100,Story,TRUE,,,published,jewish,100,50,2,,"The Old Testament closes in silence, but expectation grows. With foreign rule, sectarian tension, and prophetic hope, the Jewish world awaited something more. A new era was about to begin.",,,,c. 1 BCE
